service	port
Glacier	1826
asi	1827
pcm	1827
itm-mcell-u	1828
optika-emedia	1829
net8-cman	1830
myrtle	1831
tht-treasure	1832
udpradio	1833
ardusuni	1834
ardusmul	1835
ste-smsc	1836
csoft1	1837
talnet	1838
netopia-vo1	1839
netopia-vo2	1840
netopia-vo3	1841
netopia-vo4	1842
netopia-vo5	1843
direcpc-dll	1844
altalink	1845
tunstall-pnc	1846
slp-notify	1847
fjdocdist	1848
alpha-sms	1849
gsi	1850
ctcd	1851
virtual-time	1852
vids-avtp	1853
buddy-draw	1854
fiorano-rtrsvc	1855
fiorano-msgsvc	1856
datacaptor	1857
privateark	1858
gammafetchsvr	1859
sunscalar-svc	1860
lecroy-vicp	1861
techra-server	1862
msnp	1863
paradym-31port	1864
entp	1865
swrmi	1866
udrive	1867
viziblebrowser	1868
yestrader	1869
sunscalar-dns	1870
canocentral0	1871
canocentral1	1872
fjmpjps	1873
fjswapsnp	1874
westell-stats	1875
ewcappsrv	1876
hp-webqosdb	1877
drmsmc	1878
nettgain-nms	1879
vsat-control	1880
ibm-mqseries2	1881
ecsqdmn	1882
ibm-mqisdp	1883
idmaps	1884
vrtstrapserver	1885
leoip	1886
filex-lport	1887
ncconfig	1888
unify-adapter	1889
wilkenlistener	1890
childkey-notif	1891
childkey-ctrl	1892
elad	1893
o2server-port	1894
b-novative-ls	1896
metaagent	1897
cymtec-port	1898
mc2studios	1899
ssdp	1900
fjicl-tep-a	1901
fjicl-tep-b	1902
linkname	1903
fjicl-tep-c	1904
sugp	1905
tpmd	1906
intrastar	1907
dawn	1908
global-wlink	1909
ultrabac	1910
mtp	1911
rhp-iibp	1912
armadp	1913
elm-momentum	1914
facelink	1915
persona	1916
noagent	1917
can-nds	1918
can-dch	1919
can-ferret	1920
noadmin	1921
tapestry	1922
spice	1923
xiip	1924
discovery-port	1925
egs	1926
videte-cipc	1927
emsd-port	1928
bandwiz-system	1929
driveappserver	1930
amdsched	1931
ctt-broker	1932
xmapi	1933
xaapi	1934
tincan	1935
jetcmeserver	1936
jwserver	1937
jwclient	1938
jvserver	1939
jvclient	1940
dic-aida	1941
res	1942
beeyond-media	1943
close-combat	1944
dialogic-elmd	1945
tekpls	1946
hlserver	1947
eye2eye	1948
ismaeasdaqlive	1949
ismaeasdaqtest	1950
bcs-lmserver	1951
mpnjsc	1952
rapidbase	1953
abr-basic	1954
abr-secure	1955
vrtl-vmf-ds	1956
unix-status	1957
dxadmind	1958
simp-all	1959
nasmanager	1960
bts-appserver	1961
biap-mp	1962
webmachine	1963
solid-e-engine	1964
tivoli-npm	1965
FakeFTP	1966
slush	1966
ForYourEyesOnly	1967
sns-quote	1967
WMFTPServer	1967
lipsinc	1968
lipsinc1	1969
OpCBO	1969
netop-rc	1970
netop-school	1971
intersys-cache	1972
dlsrap	1973
drp	1974
Aureate	1975
tcoflashagent	1975
tcoregagent	1976
tcoaddressbook	1977
unisql	1978
unisql-java	1979
pearldoc-xact	1980
Bowl	1981
p2pq	1981
Shockrave	1981
estamp	1982
lhtp	1983
bb	1984
hsrp	1985
licensedaemon	1986
tr-rsrb-p1	1987
tr-rsrb-p2	1988
mshnet	1989
tr-rsrb-p3	1989
stun-p1	1990
PitFall	1991
stun-p2	1991
ipsendmsg	1992
stun-p3	1992
snmp-tcp-port	1993
stun-port	1994
perf-port	1995
tr-rsrb-port	1996
gdp-port	1997
x25-svc-port	1998
BackDoor	1999
SubSeven	1999
tcp-id-port	1999
TransScout	1999
callbook	2000
	2000
DerSpherDerSpaeher	2000
InsaneNetwork	2000
Last2000	2000
RemoteExplorer2000	2000
SennaSpyTrojanGenerator	2000
dc	2001
	2001
DerSpherDerSpaeher	2001
TrojanCow	2001
cfingerd	2003
TransScout	2003
mailbox	2004
TransScout	2004
berknet	2005
deslogin	2005
TransScout	2005
invokator	2006
dectalk	2007
conf	2008
news	2009
nfr	2010
search	2010
raid-cc	2011
ttyinfo	2012
raid-am	2013
troff	2014
cypress	2015
bootserver	2016
cypress-stat	2017
terminaldb	2018
whosockami	2019
xinupageserver	2020
servexec	2021
down	2022
RipperPro	2023
Ripper	2023
xinuexpansion3	2023
xinuexpansion4	2024
ellpack	2025
scrabble	2026
shadowserver	2027
submitserver	2028
device2	2030
blackboard	2032
glogger	2033
scoremgr	2034
imsldoc	2035
objectmanager	2038
lam	2040
korgo	2041
isis	2042
isis-bcast	2043
rimsl	2044
cdfunc	2045
sdfunc	2046
dls	2047
dls-monitor	2048
nfs	2049
shilp	2049
av-emb-config	2050
epnsdp	2051
clearvisn	2052
lot105-ds-upd	2053
weblogin	2054
iop	2055
omnisky	2056
rich-cp	2057
newwavesearch	2058
bmc-messaging	2059
teleniumdaemon	2060
netmount	2061
icg-swp	2062
icg-bridge	2063
distrib-netassholes	2064
icg-iprelay	2064
dlsrpn	2065
dlswpn	2067
avauthsrvprtcl	2068
event-port	2069
ah-esp-encap	2070
acp-port	2071
msync	2072
vbs-data-port	2073
vrtl-vmf-sa	2074
newlixengine	2075
newlixconfig	2076
trellisagt	2077
trellissvr	2078
idware-router	2079
autodesk-nlm	2080
WinHole	2080
kme-trap-port	2081
eli	2087
sep	2089
lrp	2090
prp	2091
descent3	2092
nbx-cc	2093
nbx-au	2094
nbx-ser	2095
nbx-dir	2096
jetformpreview	2097
dialog-port	2098
h2250-annex-g	2099
amiganetfs	2100
rtcm-sc104	2101
zephyr-srv	2102
zephyr-clt	2103
zephyr-hm	2104
eklogin	2105
minipay	2105
ekshell	2106
mzap	2106
bintec-admin	2107
comcam	2108
rkinit	2108
ergolight	2109
umsp	2110
dsatp	2111
kx	2111
idonix-metanet	2112
kip	2112
hsl-storm	2113
newheights	2114
Bugs	2115
kdm	2115
ccowcmr	2116
mentaclient	2117
mentaserver	2118
gsigatekeeper	2119
kauth	2120
qencp	2120
scientia-ssdb	2121
caupc-remote	2122
gtp-control	2123
elatelink	2124
lockstep	2125
pktcable-cops	2126
index-pc-wb	2127
net-steward	2128
cs-live	2129
swc-xds	2130
avantageb2b	2131
avail-epmap	2132
zymed-zpp	2133
avenue	2134
gris	2135
appworxsrv	2136
connect	2137
unbind-cluster	2138
ias-auth	2139
Foreplay	2140
ias-reg	2140
TheInvasor	2140
ias-admind	2141
tdm-over-ip	2142
lv-jc	2143
lv-ffx	2144
lv-pici	2145
lv-not	2146
lv-auth	2147
veritas-ucl	2148
acptsys	2149
dynamic3d	2150
docent	2151
gtp-user	2152
IllusionMailer	2155
apc-cms	2160
x-bone-api	2165
iwserver	2166
mc-gt-srv	2180
eforward	2181
ici	2200
ats	2201
imtc-map	2202
kali	2213
netiq	2220
rockwell-csp1	2221
AMD	2222
rockwell-csp2	2222
rockwell-csp3	2223
ivs-video	2232
infocrypt	2233
directplay	2234
sercomm-wlink	2235
nani	2236
optech-port1-lm	2237
aviva-sna	2238
imagequery	2239
recipe	2240
ivsd	2241
foliocorp	2242
magicom	2243
nmsserver	2244
hao	2245
remote-collab	2250
Nirvana	2255
vrtp	2255
xmquery	2279
lnvpoller	2280
lnvconsole	2281
lnvalarm	2282
HVLRat5	2283
HvlRAT	2283
lnvstatus	2283
lnvmaps	2284
lnvmailmon	2285
nas-metering	2286
dna	2287
netml	2288
konshus-lm	2294
advant-lm	2295
theta-lm	2296
d2k-datamover1	2297
d2k-datamover2	2298
pc-telecommute	2299
cvmmon	2300
Xplorer	2300
compaqdiag	2301
binderysupport	2302
proxy-gateway	2303
attachmate-uts	2304
mt-scaleserver	2305
tappi-boxnet	2306
pehelp	2307
sdhelp	2308
sdserver	2309
sdclient	2310
messageservice	2311
Studio54	2311
iapp	2313
cr-websystems	2314
precise-sft	2315
sent-lm	2316
attachmate-g32	2317
cadencecontrol	2318
infolibria	2319
siebel-ns	2320
rdlap	2321
ofsd	2322
3d-nfsd	2323
cosmocall	2324
designspace-lm	2325
idcp	2326
xingcsm	2327
netrix-sftm	2328
nvd	2329
IRCContact	2330
tscchat	2330
agentview	2331
IRCContact	2331
IRCContact	2332
rcc-host	2332
IRCContact	2333
snapp	2333
ace-client	2334
IRCContact	2334
ace-proxy	2335
IRCContact	2335
appleugcontrol	2336
IRCContact	2336
ideesrv	2337
IRCContact	2337
IRCContact	2338
norton-lambert	2338
3com-webview	2339
IRCContact	2339
VoiceSpyOBS	2339
VoiceSpy	2339
wrs_registry	2340
xiostatus	2341
manage-exec	2342
nati-logos	2343
fcmsys	2344
dbm	2345
DolyTrojan	2345
redstorm_join	2346
redstorm_find	2347
redstorm_info	2348
redstorm_diag	2349
psbserver	2350
psrserver	2351
pslserver	2352
pspserver	2353
psprserver	2354
psdbserver	2355
gxtelmd	2356
unihub-server	2357
futrix	2358
flukeserver	2359
nexstorindltd	2360
tl1	2361
digiman	2362
mediacntrlnfsd	2363
oi-2000	2364
dbref	2365
qip-login	2366
service-ctrl	2367
opentable	2368
acs2000-dsp	2369
compaq-econnect	2370
l3-hbmon	2370
compaq-https	2381
ms-olap3	2382
ms-olap4	2383
sd-request	2384
ovsessionmgr	2389
rsmtp	2390
3com-net-mgmt	2391
tacticalauth	2392
ms-olap1	2393
ms-olap2	2394
lan900_remote	2395
wusage	2396
ncl	2397
orbiter	2398
fmpro-fdal	2399
opequus-server	2400
Portd	2400
cvspserver	2401
taskmaster2000	2402
taskmaster2000	2403
iec870-5-104	2404
trc-netpoll	2405
jediserver	2406
orion	2407
optimanet	2408
sns-protocol	2409
vrts-registry	2410
netwave-ap-mgmt	2411
cdn	2412
orion-rmi-reg	2413
beeyond	2414
comtest	2415
rmtserver	2416
composit-server	2417
cas	2418
attachmate-s2s	2419
dslremote-mgmt	2420
g-talk	2421
crmsbits	2422
rnrp	2423
kofax-svr	2424
fjitsuappmgr	2425
applianttcp	2426
mgcp-gateway	2427
ott	2428
ft-role	2429
venus	2430
venus-se	2431
codasrv	2432
codasrv-se	2433
pxc-epmap	2434
optilogic	2435
topx	2436
unicontrol	2437
msp	2438
sybasedbsynch	2439
spearway	2440
pvsw-inet	2441
netangel	2442
powerclientcsf	2443
btpp2sectrans	2444
dtn1	2445
bues_service	2446
ovwdb	2447
hpppssvr	2448
ratl	2449
netadmin	2450
netchat	2451
snifferclient	2452
madge-om	2453
indx-dds	2454
wago-io-system	2455
altav-remmgt	2456
rapido-ip	2457
griffin	2458
community	2459
ms-theater	2460
qadmifoper	2461
qadmifevent	2462
symbios-raid	2463
direcpc-si	2464
lbm	2465
lbf	2466
high-criteria	2467
qip-msgd	2468
mti-tcs-comm	2469
taskman-port	2470
seaodbc	2471
c3	2472
aker-cdp	2473
vitalanalysis	2474
ace-server	2475
ace-svr-prop	2476
ssm-cvs	2477
ssm-cssps	2478
ssm-els	2479
lingwood	2480
giop	2481
giop-ssl	2482
ttc	2483
ttc-ssl	2484
netobjects1	2485
netobjects2	2486
pns	2487
moy-corp	2488
tsilb	2489
qip-qdhcp	2490
conclave-cpp	2491
groove	2492
talarian-mqs	2493
bmc-ar	2494
fast-rem-serv	2495
dirgis	2496
quaddb	2497
odn-castraq	2498
unicontrol	2499
rtsserv	2500
rtsclient	2501
kentrox-prot	2502
nms-dpnss	2503
wlbs	2504
torque-traffic	2505
jbroker	2506
spock	2507
jdatastore	2508
fjmpss	2509
fjappmgrbulk	2510
metastorm	2511
citrixima	2512
citrixadmin	2513
facsys-ntp	2514
facsys-router	2515
maincontrol	2516
call-sig-trans	2517
willy	2518
globmsgsvc	2519
pvsw	2520
adaptecmgr	2521
windb	2522
qke-llc-v3	2523
optiwave-lm	2524
ms-v-worlds	2525
ema-sent-lm	2526
iqserver	2527
ncr_ccl	2528
utsftp	2529
vrcommerce	2530
ito-e-gui	2531
ovtopmd	2532
snifferserver	2533
combox-web-acc	2534
madcap	2535
btpp2audctr1	2536
upgrade	2537
vnwk-prapi	2538
vsiadmin	2539
lonworks	2540
lonworks2	2541
davinci	2542
reftek	2543
novell-zen	2544
sis-emt	2545
vytalvaultbrtp	2546
vytalvaultvsmp	2547
vytalvaultpipe	2548
ipass	2549
ads	2550
isg-uda-server	2551
call-logging	2552
efidiningport	2553
vcnet-link-v10	2554
compaq-wcp	2555
Lion	2555
T0rnRootkit	2555
bagle-backdoor	2556
nicetec-mgmt	2557
pclemultimedia	2558
lstp	2559
labrat	2560
mosaixcc	2561
delibo	2562
cti-redwood	2563
hp-3000-telnet	2564
coord-svr	2565
Striker	2565
Strikertrojan	2565
pcs-pcw	2566
clp	2567
spamtrap	2568
sonuscallsig	2569
hs-port	2570
cecsvc	2571
ibp	2572
trustestablish	2573
blockade-bpsp	2574
hl7	2575
tclprodebugger	2576
scipticslsrvr	2577
rvs-isdn-dcp	2578
mpfoncl	2579
tributary	2580
argis-te	2581
argis-ds	2582
mon	2583
WinCrash	2583
cyaserv	2584
netx-server	2585
netx-agent	2586
masc	2587
privilege	2588
Dagger	2589
quartus-tcl	2589
idotdist	2590
maytagshuffle	2591
netrek	2592
mns-mail	2593
dts	2594
worldfusion1	2595
worldfusion2	2596
homesteadglory	2597
citriximaclient	2598
meridiandata	2599
DigitalRootBeer	2600
hpstgmgr	2600
zebrasrv	2600
discp-client	2601
zebra	2601
discp-server	2602
ripd	2602
ripngd	2603
servicemeter	2603
nsc-ccs	2604
ospfd	2604
bgpd	2605
nsc-posa	2605
netmon	2606
connection	2607
wag-service	2608
system-monitor	2609
versa-tek	2610
lionhead	2611
qpasa-agent	2612
smntubootstrap	2613
neveroffline	2614
firepower	2615
appswitch-emp	2616
cmadmin	2617
priority-e-com	2618
bruce	2619
lpsrecommender	2620
miles-apart	2621
metricadbc	2622
lmdp	2623
aria	2624
blwnkl-port	2625
gbjd816	2626
moshebeeri	2627
webster	2627
dict	2628
sitaraserver	2629
sitaramgmt	2630
sitaradir	2631
irdg-post	2632
interintelli	2633
pk-electronics	2634
backburner	2635
solve	2636
imdocsvc	2637
sybase	2638
aminet	2639
sai_sentlm	2640
hdl-srv	2641
tragic	2642
gte-samp	2643
travsoft-ipx-t	2644
novell-ipx-cmd	2645
and-lm	2646
syncserver	2647
upsnotifyprot	2648
vpsipport	2649
eristwoguns	2650
ebinsite	2651
interpathpanel	2652
sonus	2653
corel_vncadmin	2654
unglue	2655
kana	2656
sns-dispatcher	2657
sns-admin	2658
sns-query	2659
gcmonitor	2660
olhost	2661
bintec-capi	2662
bintec-tapi	2663
patrol-mq-gm	2664
patrol-mq-nm	2665
extensis	2666
alarm-clock-s	2667
alarm-clock-c	2668
toad	2669
tve-announce	2670
newlixreg	2671
nhserver	2672
firstcall42	2673
ewnn	2674
ttc-etap	2675
simslink	2676
gadgetgate1way	2677
gadgetgate2way	2678
syncserverssl	2679
pxc-sapxom	2680
mpnjsomb	2681
srsp	2682
ncdloadbalance	2683
mpnjsosv	2684
mpnjsocl	2685
mpnjsomg	2686
pq-lic-mgmt	2687
md-cg-http	2688
fastlynx	2689
hp-nnm-data	2690
itinternet	2691
admins-lms	2692
belarc-http	2693
pwrsevent	2694
vspread	2695
unifyadmin	2696
oce-snmp-trap	2697
mck-ivpip	2698
csoft-plusclnt	2699
tqdata	2700
sms-rcinfo	2701
BlackDiver	2702
sms-xfer	2702
sms-chat	2703
sms-remctrl	2704
sds-admin	2705
ncdmirroring	2706
emcsymapiport	2707
banyan-net	2708
supermon	2709
sso-service	2710
sso-control	2711
aocp	2712
raven1	2713
raven2	2714
hpstgmgr2	2715
inova-ip-disco	2716
ThePrayer	2716
pn-requester	2717
pn-requester2	2718
scan-change	2719
wkars	2720
smart-diagnose	2721
proactivesrvr	2722
watchdognt	2723
qotps	2724
msolap-ptp2	2725
tams	2726
mgcp-callagent	2727
sqdr	2728
tcim-control	2729
nec-raidplus	2730
netdragon-msngr	2731
g5m	2732
signet-ctf	2733
ccs-software	2734
netiq-mc	2735
radwiz-nms-srv	2736
srp-feedback	2737
ndl-tcp-ois-gw	2738
tn-timing	2739
alarm	2740
tsb	2741
tsb2	2742
murx	2743
honyaku	2744
Bagle.C	2745
cpudpencap	2746
fjippol-swrly	2747
fjippol-polsvr	2748
fjippol-cnsl	2749
fjippol-port1	2750
fjippol-port2	2751
rsisysaccess	2752
de-spot	2753
apollo-cc	2754
expresspay	2755
simplement-tie	2756
cnrp	2757
apollo-status	2758
apollo-gms	2759
sabams	2760
dicom-iscl	2761
dicom-tls	2762
desktop-dna	2763
data-insurance	2764
qip-audup	2765
compaq-scp	2766
listen	2766
nlps	2766
uadtc	2767
uacs	2768
singlept-mvs	2769
veronica	2770
vergencecm	2771
auris	2772
pcbakcup1	2773
SubSeven2.1Gold	2773
SubSeven	2773
pcbakcup2	2774
SubSeven2.1Gold	2774
SubSeven	2774
smpp	2775
ridgeway1	2776
ridgeway2	2777
gwen-sonya	2778
lbc-sync	2779
lbc-control	2780
whosells	2781
everydayrc	2782
aises	2783
www-dev	2784
aic-np	2785
aic-oncrpc	2786
piccolo	2787
fryeserv	2788
media-agent	2789
plgproxy	2790
mtport-regist	2791
f5-globalsite	2792
initlsmsad	2793
aaftp	2794
livestats	2795
ac-tech	2796
esp-encap	2797
tmesis-upshot	2798
icon-discover	2799
acc-raid	2800
igcp	2801
PhineasPhucker	2801
veritas-tcp1	2802
btprjctrl	2803
telexis-vtu	2804
wta-wsp-s	2805
cspuni	2806
cspmulti	2807
j-lan-p	2808
corbaloc	2809
netsteward	2810
gsiftp	2811
atmtcp	2812
llm-pass	2813
llm-csv	2814
lbc-measure	2815
lbc-watchdog	2816
nmsigport	2817
rmlnk	2818
fc-faultnotify	2819
univision	2820
vml-dms	2821
ka0wuc	2822
cqg-netlan	2823
cqg-netlan-1	2824
slc-systemlog	2826
slc-ctrlrloops	2827
itm-lm	2828
silkp1	2829
silkp2	2830
silkp3	2831
silkp4	2832
glishd	2833
evtp	2834
evtp-data	2835
catalyst	2836
repliweb	2837
starbot	2838
nmsigport	2839
l3-exprt	2840
l3-ranger	2841
l3-hawk	2842
pdnet	2843
bpcp-poll	2844
bpcp-trap	2845
aimpp-hello	2846
aimpp-port-req	2847
amt-blc-port	2848
fxp	2849
metaconsole	2850
webemshttp	2851
bears-01	2852
ispipes	2853
infomover	2854
cesdinv	2856
simctlp	2857
ecnp	2858
activememory	2859
dialpad-voice1	2860
dialpad-voice2	2861
ttg-protocol	2862
sonardata	2863
astromed-main	2864
pit-vpn	2865
lwlistener	2866
esps-portal	2867
npep-messaging	2868
icslap	2869
daishi	2870
msi-selectplay	2871
contract	2872
paspar2-zoomin	2873
dxmessagebase1	2874
dxmessagebase2	2875
sps-tunnel	2876
bluelance	2877
aap	2878
ucentric-ds	2879
synapse	2880
ndsp	2881
ndtp	2882
ndnp	2883
flashmsg	2884
topflow	2885
responselogic	2886
aironetddp	2887
spcsdlobby	2888
rsom	2889
cspclmulti	2890
cinegrfx-elmd	2891
snifferdata	2892
vseconnector	2893
abacus-remote	2894
natuslink	2895
ecovisiong6-1	2896
citrix-rtmp	2897
appliance-cfg	2898
powergemplus	2899
quicksuite	2900
allstorcns	2901
netaspi	2902
suitcase	2903
m2ua	2904
m3ua	2905
caller9	2906
webmethods-b2b	2907
mao	2908
funk-dialout	2909
tdaccess	2910
blockade	2911
epicon	2912
boosterware	2913
gamelobby	2914
tksocket	2915
elvin_server	2916
elvin_client	2917
kastenchasepad	2918
roboer	2919
roboeda	2920
cesdcdman	2921
cesdcdtrn	2922
wta-wsp-wtp-s	2923
precise-vip	2924
mobile-file-dl	2926
unimobilectrl	2927
redstone-cpss	2928
Konik	2929
panja-webadmin	2929
panja-weblinx	2930
circle-x	2931
incp	2932
4-tieropmgw	2933
4-tieropmcli	2934
qtp	2935
otpatch	2936
pnaconsult-lm	2937
sm-pas-1	2938
sm-pas-2	2939
sm-pas-3	2940
sm-pas-4	2941
sm-pas-5	2942
ttnrepository	2943
megaco-h248	2944
h248-binary	2945
fjsvmpor	2946
gpsd	2947
wap-push	2948
wap-pushsecure	2949
esip	2950
ottp	2951
mpfwsas	2952
ovalarmsrv	2953
ovalarmsrv-cmd	2954
csnotify	2955
ovrimosdbman	2956
jmact5	2957
jmact6	2958
rmopagt	2959
dfoxserver	2960
boldsoft-lm	2961
iph-policy-cli	2962
iph-policy-adm	2963
bullant-srap	2964
bullant-rap	2965
idp-infotrieve	2966
ssc-agent	2967
enpp	2968
essp	2969
index-net	2970
netclip	2971
pmsm-webrctl	2972
svnetworks	2973
signal	2974
fjmpcm	2975
cns-srv-port	2976
ttc-etap-ns	2977
ttc-etap-ds	2978
h263-video	2979
wimd	2980
mylxamport	2981
iwb-whiteboard	2982
netplan	2983
hpidsadmin	2984
hpidsagent	2985
stonefalls	2986
identify	2987
classify	2988
zarkov	2989
boscap	2990
wkstn-mon	2991
itb301	2992
veritas-vis1	2993
veritas-vis2	2994
idrs	2995
vsixml	2996
rebol	2997
realsecure	2998
remoteware-un	2999
hbci	3000
InetSpy	3000
ppp	3000
RemoteShut	3000
remoteware-cl	3000
nessusd	3001
redwood-broker	3001
exlm-agent	3002
remoteware-srv	3002
cgms	3003
csoftragent	3004
deslogin	3005
geniuslm	3005
deslogind	3006
ii-admin	3006
lotusmtap	3007
midnight-tech	3008
pxc-ntfy	3009
gw	3010
trusted-web	3011
twsdss	3012
gilatskysurfer	3013
broker_service	3014
nati-dstp	3015
notify_srvr	3016
event_listener	3017
srvc_registry	3018
resource_mgr	3019
cifs	3020
agriserver	3021
csregagent	3022
magicnotes	3023
nds_sso	3024
WinCrash	3024
arepa-raft	3025
agri-gateway	3026
LiebDevMgmt_C	3027
LiebDevMgmt_DM	3028
LiebDevMgmt_A	3029
arepa-cas	3030
agentvu	3031
Microspy	3031
redwood-chat	3032
pdb	3033
osmosis-aeea	3034
fjsv-gssagt	3035
hagel-dump	3036
hp-san-mgmt	3037
santak-ups	3038
cogitate	3039
tomato-springs	3040
di-traceware	3041
journee	3042
brp	3043
epp	3044
responsenet	3045
di-ase	3046
hlserver	3047
pctrader	3048
cfs	3049
nsws	3049
gds_db	3050
galaxy-server	3051
apcpcns	3052
dsom-server	3053
amt-cnf-prot	3054
policyserver	3055
cdl-server	3056
goahead-fldup	3057
videobeans	3058
qsoft	3059
interserver	3060
cautcpd	3061
ncacn-ip-tcp	3062
ncadg-ip-udp	3063
distrib-net-proxy	3064
rprt	3064
slinterbase	3065
netattachsdmp	3066
korgo	3067
ls3bcast	3068
ls3	3069
mgxswitch	3070
csd-mgmt-port	3071
csd-monitor	3072
vcrp	3073
orbix-locator	3075
orbix-config	3076
orbix-loc-ssl	3077
orbix-cfg-ssl	3078
lv-frontpanel	3079
stm_pproc	3080
tl1-lv	3081
tl1-raw	3082
tl1-telnet	3083
itm-mccs	3084
pcihreq	3085
jdl-dbkitchen	3086
sj3	3086
asoki-sma	3087
xdtp	3088
ptk-alink	3089
rtss	3090
njfss	3092
rapidmq-center	3093
rapidmq-reg	3094
panasas	3095
ndl-aps	3096
umm-port	3098
chmd	3099
opcon-xps	3100
hp-pxpib	3101
slslavemon	3102
autocuesmi	3103
autocuelog	3104
cardbox	3105
cardbox-http	3106
rdi-business	3107
rdi-geolocate	3108
rdi-personnel	3109
sim-control	3110
wsynch	3111
mydoom	3127
ctx-bridge	3127
squid-http	3128
MastersParadise	3129
icpv2	3130
netbookmark	3131
SubSARI	3131
vmodem	3141
rdc-wh-eos	3142
seaview	3143
tarantella	3144
csi-lfap	3145
rfio	3147
nm-game-admin	3148
nm-game-server	3149
Foreplay	3150
MiniBacklash	3150
nm-asses-admin	3150
TheInvasor	3150
nm-assessor	3151
mc-brk-srv	3180
bmcpatrolagent	3181
bmcpatrolrnvu	3182
cpq-tasksmart	3201
necp	3262
ccmail	3264
altav-tunnel	3265
ns-cfg-server	3266
ibm-dial-out	3267
msft-gc	3268
msft-gc-ssl	3269
verismart	3270
csoft-prev	3271
user-manager	3272
sxmp	3273
ordinox-server	3274
samd	3275
maxim-asics	3276
awg-proxy	3277
lkcmserver	3278
admind	3279
vs-server	3280
sysopt	3281
datusorb	3282
net-assistant	3283
4talk	3284
plato	3285
e-net	3286
directvdata	3287
cops	3288
enpc	3289
caps-lm	3290
sah-lm	3291
cart-o-rama	3292
fg-fps	3293
fg-gip	3294
dyniplookup	3295
rib-slm	3296
cytel-lm	3297
transview	3298
pdrncs	3299
mcs-fastmail	3302
opsession-clnt	3303
opsession-srvr	3304
odette-ftp	3305
mysql	3306
opsession-prxy	3307
tns-server	3308
tns-adv	3309
dyna-access	3310
mcns-tel-ret	3311
appman-server	3312
uorb	3313
uohost	3314
cdid	3315
aicc-cmi	3316
vsaiport	3317
ssrip	3318
sdt-lmd	3319
officelink2000	3320
vnsstr	3321
active-net	3322
active-net	3324
sftu	3326
bbars	3327
egptlm	3328
hp-device-disc	3329
mcs-calypsoicf	3330
mcs-messaging	3331
mcs-mailsvr	3332
dec-notes	3333
directv-web	3334
directv-soft	3335
directv-tick	3336
directv-catlg	3337
anet-b	3338
anet-l	3339
anet-m	3340
anet-h	3341
webtie	3342
ms-cluster-net	3343
bnt-manager	3344
influence	3345
trnsprntproxy	3346
phoenix-rpc	3347
pangolin-laser	3348
chevinservices	3349
findviatv	3350
btrieve	3351
ssql	3352
fatpipe	3353
suitjd	3354
ordinox-dbase	3355
upnotifyps	3356
adtech-test	3357
mpsysrmsvr	3358
wg-netforce	3359
kv-server	3360
kv-agent	3361
dj-ilm	3362
nati-vi-server	3363
creativeserver	3364
contentserver	3365
creativepartnr	3366
tip2	3372
lavenir-lm	3373
cluster-disc	3374
vsnm-agent	3375
cdborker	3376
cogsys-lm	3377
wsicopy	3378
socorfs	3379
sns-channels	3380
geneous	3381
fujitsu-neat	3382
esp-lm	3383
hp-clic	3384
qnxnetman	3385
gprs-data	3386
backroomnet	3387
cbserver	3388
ms-term-services	3389
dsc	3390
savant	3391
efi-lm	3392
d2k-tapestry1	3393
d2k-tapestry2	3394
dyna-lm	3395
printer_agent	3396
cloanto-lm	3397
mercantile	3398
csms	3399
csms2	3400
filecast	3401
bmap	3421
mira	3454
